university,age,college,gender,experience,department,degrees,skills
Cairo University,22,Computer Science,Male,1,Artificial Intelligence,BSc,"['Python', 'C++', 'SQL', 'MySQL', 'Data Cleaning', 'Data Preparation', 'Machine Learning Algorithms', 'Deep Learning', 'NLP', 'CV', 'Keras', 'Scikit-learn', 'Pytorch', 'Git / Github']"
Misr University for Science and Technology,21,Other,Male,0,Information Technology,Bachelor's,"['Python', 'C++', 'R', 'SQL', 'Linear Algebra', 'Calculus', 'Probability', 'Statistics', 'NumPy', 'Pandas', 'Scikit-Learn', 'PyCaret', 'Matplotlib', 'Seaborn', 'Plotly', 'FastAPI', 'BeautifulSoup', 'Jupyter', 'Docker', 'MLflow', 'Google Colab', 'VSCode', 'Git/Github']"
Egypt Japan University for Science and Technology,26,Engineering,Male,3,Computer Engineering,Master's,"['Python', 'PyTorch', 'TensorFlow', 'C', 'C++', 'MATLAB', 'Scikit Learn', 'Numpy/Pandas', 'Matplotlib', 'CUDA', 'LLMs', 'RAG', 'Linux', 'GitHub', 'LangChain', 'Hugging Face', 'DSPY', 'Problem Solving Skills', 'Design Patterns', 'Software Engineering Methodologies']"
Nile University,24,Computer Science,Male,0,Artificial Intelligence,Bachelor's,"['Python', 'Dart', 'SQL', 'Flutter', 'Django', 'React', 'PyTorch', 'TensorFlow', 'YOLO', 'OpenCV', 'BERT', 'GPT', 'LLM', 'RESTful APIs', 'WebSocket', 'SQLite', 'PostgreSQL']"
Nile University,22,Other,Male,0,Artificial Intelligence,Bachelor's,"['Python', 'C++', 'JavaScript', 'SQL', 'LLMs (LLAMA 1B, 3B, 8B)', 'NLP', 'Deep Learning', 'Data Analysis', 'Reinforcement Learning', 'Google Cloud Platform (GCP)', 'Hadoop', 'BigQuery', 'Raspberry Pi', 'Arduino', 'ESP32', 'Sensor Integration', 'Flutter', 'Dart', 'RESTful APIs', 'Power BI', 'Tableau', 'Node.js', 'HTML/CSS', 'JavaScript', 'CUDA', 'MPI', 'Multithreading', 'TensorFlow', 'PyTorch', 'Scikit-learn', 'Hugging Face Transformers', 'Apache Spark', 'AWS IoT', 'Google IoT Core', 'React.js', 'GraphQL', 'Git', 'GitHub', 'Docker', 'Kubernetes', 'Jupyter Notebooks', 'Postman']"
Alexandria University,22,Engineering,Male,0,Computer Engineering,Bachelor's,"['Computer Vision', 'Data Science', 'LLMs', 'Artificial Intelligence', 'EDA', 'TensorFlow', 'C++', 'Flask', 'Machine Learning', 'Agents', 'Model Fine-tuning', 'Reinforcement Learning', 'Python', 'PyTorch', 'SQL', 'Streamlit']"
Hashemite University,22,Engineering,Male,0,Computer Engineering,Bachelor's,"['Python', 'C++', 'R', 'PHP', 'HTML', 'CSS', 'JavaScript', 'Retrieval-Augmented Generation (RAG)', 'Low-Rank Adaptation (LoRA)', 'Prompt Engineering', 'Embedding Generation', 'Data Preprocessing and Augmentation', 'Instruction Tuning', 'Fine-Tuning Techniques', 'Model Training and Evaluation', 'Hyperparameter Tuning', 'AWS (SageMaker, BedRock, Glue, Athena)', 'Google Cloud', 'Microsoft Azure', 'PyTorch', 'Hugging Face Transformers', 'Git', 'GitHub', 'Google Colab', 'Flask', 'PyCharm', 'Docker', 'SQL and NoSQL Databases', 'Pandas', 'NumPy', 'Git']"
Egypt Japan University Of Science & Technology,23,Computer Science,Male,0,Computer Science,Bachelor's,"['Python', 'C/C++', 'Java', 'MATLAB', 'Bash', 'Numpy', 'Panda', 'Scikitlearn', 'Tensorflow', 'Pytorch', 'Docker', 'Kubernetes', 'GCP', 'AWS', 'Git/Github', 'Node.js', 'RESTful API', 'PostgresSQL', 'Redis', 'HTML', 'CSS', 'JavaScript', 'jQuery', 'Express']"
University of Ottawa,0,Engineering,Male,1,AI & Data Science,Master's,"['Python', 'SQL', 'Matplotlib', 'Seaborn', 'Plotly', 'Linux', 'Git', 'Github', 'Docker', 'OOP', 'Numpy', 'Pandas', 'Math', 'Regex', 'NLTK', 'Hugging Face', 'Transformers']"
Egypt Japan University for Science and Technology,0,Computer Science,Female,1,Information Technology,Bachelor's,"['Python', 'C++', 'JavaScript', 'Swift', 'Flutter', 'SQL', 'HTML', 'CSS', 'Flask', 'React', 'PostgreSQL', 'Azure', 'PowerBI', 'Scikit-learn', 'TensorFlow', 'Keras', 'PyTorch', 'OpenCV', 'Pandas', 'NumPy', 'Matplotlib', 'Seaborn', 'MySQL', 'Oracle', 'Firebase', 'Ethereum', 'ETL Processes', 'Data Pipelines', 'Neural Networks', 'Deep Learning', 'Convolutional Neural Networks (CNN)', 'Generative Adversarial Networks (GAN)', 'Smart Contracts', 'Natural Language Processing (NLP)', 'Sentence Transformers', 'Sentiment Analysis', 'Text Classification', 'ResNet']"
